iter	MultiClass
0	1.038611557
1	0.9909189529
2	0.9482482257
3	0.9145482401
4	0.8863094861
5	0.8611706017
6	0.8393576926
7	0.8180224133
8	0.8006033019
9	0.7827883003
10	0.7686919966
11	0.7559678959
12	0.7435258481
13	0.7318862292
14	0.7240734132
15	0.7147055274
16	0.7070821682
17	0.6982014402
18	0.6914052852
19	0.6845255238
20	0.6777989475
21	0.671281669
22	0.6663913151
23	0.6615349662
24	0.6562797388
25	0.6506463111
26	0.6471845873
27	0.6423549011
28	0.6394309007
29	0.6359809422
30	0.6314688176
31	0.6283843849
32	0.6211971447
33	0.6176259488
34	0.6129333192
35	0.6112416189
36	0.6075425778
37	0.6042091383
38	0.6015419423
39	0.5991095312
40	0.5956916289
41	0.5935452395
42	0.5906304766
43	0.5856897558
44	0.5819971701
45	0.579602555
46	0.5764496101
47	0.5738033895
48	0.5707128394
49	0.5664611598
50	0.5614851613
51	0.5580303412
52	0.5542717085
53	0.5524791275
54	0.5492610892
55	0.5470673113
56	0.5426824852
57	0.5402795986
58	0.5376513065
59	0.5340167157
60	0.5308863359
61	0.5270885208
62	0.5247162606
63	0.5230665885
64	0.5208241995
65	0.5173295348
66	0.5153980116
67	0.5136605911
68	0.510098127
69	0.507851407
70	0.5059723083
71	0.5029349462
72	0.5009556166
73	0.4993759325
74	0.4964292892
75	0.4941408497
76	0.4909402002
77	0.4882103516
78	0.4857551341
79	0.4837448958
80	0.480633961
81	0.4787504335
82	0.4761826984
83	0.4740451593
84	0.4707130081
85	0.4682469519
86	0.4668245717
87	0.465059713
88	0.4622079092
89	0.4595434235
90	0.4575882332
91	0.4554492688
92	0.4522990478
93	0.4494534912
94	0.4469546735
95	0.4445859012
96	0.4415603623
97	0.4403471519
98	0.4391246276
99	0.436981085
100	0.4341745848
101	0.4323735536
102	0.43035091
103	0.4281065301
104	0.4263824461
105	0.4238246451
106	0.4220035849
107	0.4195413252
108	0.4165303615
109	0.4152094314
110	0.4131971163
111	0.4107700799
112	0.409460013
113	0.4066971822
114	0.4046801399
115	0.4023004928
116	0.3996306714
117	0.3971333677
118	0.3947347673
119	0.393147649
120	0.3909662845
121	0.389097851
122	0.387186128
123	0.3848152152
124	0.3819787137
125	0.3810579879
126	0.3801847622
127	0.3782996537
128	0.3765849945
129	0.3746122022
130	0.3727223233
131	0.3705900742
132	0.3683822452
133	0.366433903
